Participant_ID,Name,Email,College,State,Domain,Day,Participation_Status,Score,Feedback,Image_File,Date
1,Sarah White,emily_johnson@gmail.com,Berkeley,New York,AI & ML,Day 2,Dropped,75,difficult difficult difficult innovative intense exciting intense difficult challenging innovative,participant_1.jpg,2025-04-01
2,Chris Brown,katie_jackson@gmail.com,CMU,Florida,IoT,Day 2,Completed,100,challenging innovative difficult average average fun intense great great exciting,participant_2.jpg,2025-04-02
3,Katie Martin,laura_taylor@outlook.com,Harvard,California,FinTech,Day 1,Completed,94,great innovative difficult great challenging intense exciting fun great average,participant_3.jpg,2025-04-03
4,Alex Brown,sarah_jackson@gmail.com,Stanford,New York,AI & ML,Day 2,Ongoing,96,fun rewarding fun intense rewarding rewarding exciting fun rewarding challenging,participant_4.jpg,2025-04-04
5,Katie Anderson,chris_martin@gmail.com,MIT,Texas,IoT,Day 2,Dropped,68,intense innovative exciting difficult innovative educational innovative challenging fun intense,participant_5.jpg,2025-04-05
6,Sarah Harris,david_smith@gmail.com,Berkeley,Illinois,IoT,Day 1,Completed,52,innovative exciting innovative innovative average fun educational intense difficult average,participant_6.jpg,2025-04-06
7,Sarah Johnson,katie_jackson@gmail.com,Berkeley,New York,FinTech,Day 2,Ongoing,73,rewarding rewarding exciting great rewarding innovative difficult average rewarding exciting,participant_7.jpg,2025-04-07
8,Alex White,jane_brown@gmail.com,Berkeley,Florida,FinTech,Day 3,Ongoing,87,rewarding rewarding difficult difficult fun innovative great great average exciting,participant_8.jpg,2025-04-08
9,John Johnson,chris_thomas@outlook.com,Berkeley,Florida,Blockchain,Day 2,Ongoing,77,fun rewarding educational innovative innovative challenging rewarding innovative fun intense,participant_9.jpg,2025-04-09
10,Sarah Martin,sarah_smith@outlook.com,Harvard,Illinois,FinTech,Day 1,Dropped,58,challenging challenging exciting difficult exciting difficult educational educational average fun,participant_10.jpg,2025-04-10
11,Katie White,john_martin@yahoo.com,Harvard,Florida,IoT,Day 1,Dropped,79,exciting fun innovative fun average exciting challenging great educational innovative,participant_11.jpg,2025-04-11
12,John Taylor,alex_thomas@outlook.com,Harvard,Illinois,IoT,Day 3,Ongoing,88,rewarding fun average innovative intense difficult great great average fun,participant_12.jpg,2025-04-12
13,Emily Smith,emily_harris@outlook.com,MIT,Florida,Cybersecurity,Day 1,Dropped,75,difficult educational innovative great educational challenging innovative great rewarding intense,participant_13.jpg,2025-04-13
14,Alex Martin,chris_taylor@yahoo.com,Berkeley,Texas,AI & ML,Day 1,Dropped,74,average exciting intense exciting great difficult difficult average difficult difficult,participant_14.jpg,2025-04-14
15,David Smith,michael_martin@gmail.com,Harvard,Texas,IoT,Day 1,Completed,100,exciting fun exciting rewarding difficult innovative difficult exciting fun exciting,participant_15.jpg,2025-04-15
16,Chris Jackson,david_johnson@gmail.com,Berkeley,Florida,Blockchain,Day 1,Completed,63,challenging average innovative educational great intense educational great rewarding educational,participant_16.jpg,2025-04-16
17,Emily Martin,chris_thomas@gmail.com,CMU,Texas,Cybersecurity,Day 2,Completed,88,rewarding fun intense difficult rewarding innovative rewarding great great intense,participant_17.jpg,2025-04-17
18,David Anderson,chris_white@gmail.com,Stanford,Illinois,FinTech,Day 2,Ongoing,71,rewarding innovative great challenging exciting exciting challenging average exciting fun,participant_18.jpg,2025-04-18
19,Laura Brown,david_johnson@gmail.com,MIT,California,Blockchain,Day 2,Completed,56,exciting educational innovative challenging educational challenging difficult educational educational exciting,participant_19.jpg,2025-04-19
20,John Taylor,chris_harris@outlook.com,Harvard,Texas,AI & ML,Day 1,Completed,54,innovative challenging fun great fun average rewarding exciting fun average,participant_20.jpg,2025-04-20
21,Jane Jackson,chris_anderson@outlook.com,Stanford,California,Blockchain,Day 2,Dropped,94,challenging innovative average exciting intense rewarding educational innovative educational innovative,participant_21.jpg,2025-04-21
22,David White,john_martin@outlook.com,Harvard,Illinois,Cybersecurity,Day 2,Dropped,71,exciting fun great exciting great rewarding fun challenging average educational,participant_22.jpg,2025-04-22
